x,y,z,value,lat,long
1,15,0,4.367477990454368,40.81048,-111.713403
1,15,1,4.116524066033123,40.78696,-111.713403
1,15,2,4.2341286070338695,40.76345,-111.713403
1,15,3,4.332611145086404,40.73993,-111.713403
1,15,4,4.142616818314151,40.71642,-111.713403
1,15,5,4.416882451746168,40.69291,-111.713403
1,15,6,4.197573228219039,40.66939,-111.713403
1,15,7,4.551636307608022,40.64588,-111.713403
1,15,8,3.813151991787427,40.62236,-111.713403
1,15,9,4.383931194376754,40.59885,-111.713403
2,0,0,5.9210970744452585,40.81048,-112.001349
2,0,1,5.955517831086457,40.78696,-112.001349
2,0,2,6.02951944758854,40.76345,-112.001349
2,0,3,6.499803630251527,40.73993,-112.001349
2,0,4,6.735709729669779,40.71642,-112.001349
2,0,5,6.412661223124436,40.69291,-112.001349
2,0,6,6.415394737958724,40.66939,-112.001349
2,0,7,6.495208908125752,40.64588,-112.001349
2,0,8,6.318713786786505,40.62236,-112.001349
2,0,9,6.220967887484631,40.59885,-112.001349
2,1,0,5.854094395001955,40.81048,-111.9821526
2,1,1,6.033137378694734,40.78696,-111.9821526
2,1,2,6.000930434840585,40.76345,-111.9821526
2,1,3,6.632299725271327,40.73993,-111.9821526
2,1,4,6.834641176086144,40.71642,-111.9821526
2,1,5,6.314002464759033,40.69291,-111.9821526
2,1,6,6.240519864337093,40.66939,-111.9821526
2,1,7,6.552660292659921,40.64588,-111.9821526
2,1,8,6.231139937602832,40.62236,-111.9821526
2,1,9,6.002000046979957,40.59885,-111.9821526
2,2,0,5.994600666364524,40.81048,-111.9629562
2,2,1,6.415111745762317,40.78696,-111.9629562
2,2,2,6.541943803118756,40.76345,-111.9629562
2,2,3,7.059601466360793,40.73993,-111.9629562
2,2,4,6.8565959806551655,40.71642,-111.9629562
2,2,5,5.988565668563963,40.69291,-111.9629562
2,2,6,5.9381107271905496,40.66939,-111.9629562
2,2,7,6.446432552713658,40.64588,-111.9629562
2,2,8,6.035629519585217,40.62236,-111.9629562
2,2,9,5.7169750297425,40.59885,-111.9629562
2,3,0,6.058321078143463,40.81048,-111.9437598
2,3,1,6.647299195219471,40.78696,-111.9437598
2,3,2,7.424131942292959,40.76345,-111.9437598
2,3,3,7.226499433238425,40.73993,-111.9437598
2,3,4,6.280836819352904,40.71642,-111.9437598
2,3,5,5.4359176777492655,40.69291,-111.9437598
2,3,6,5.26263112978795,40.66939,-111.9437598
2,3,7,6.728133847047012,40.64588,-111.9437598
2,3,8,5.782797054280186,40.62236,-111.9437598
2,3,9,5.38086688244004,40.59885,-111.9437598
2,4,0,6.398864924596091,40.81048,-111.9245634
2,4,1,7.468923051009978,40.78696,-111.9245634
2,4,2,7.344061504763009,40.76345,-111.9245634
2,4,3,7.257701496348014,40.73993,-111.9245634
2,4,4,5.836106192064259,40.71642,-111.9245634
2,4,5,5.109671709569812,40.69291,-111.9245634
2,4,6,4.977860121024312,40.66939,-111.9245634
2,4,7,5.6082283664309855,40.64588,-111.9245634
2,4,8,8.120609025805996,40.62236,-111.9245634
2,4,9,5.093297461732884,40.59885,-111.9245634
2,5,0,6.2105869008955334,40.81048,-111.905367
2,5,1,7.177392996003697,40.78696,-111.905367
2,5,2,8.065298701753868,40.76345,-111.905367
2,5,3,6.961791194930854,40.73993,-111.905367
2,5,4,6.633252658122688,40.71642,-111.905367
2,5,5,7.154854236672175,40.69291,-111.905367
2,5,6,5.026799105929044,40.66939,-111.905367
2,5,7,6.143702871564961,40.64588,-111.905367
2,5,8,6.264561771547819,40.62236,-111.905367
2,5,9,6.732150284737207,40.59885,-111.905367
2,6,0,5.404109091739566,40.81048,-111.8861706
2,6,1,6.164091850580379,40.78696,-111.8861706
2,6,2,8.502372733937003,40.76345,-111.8861706
2,6,3,7.666236568591611,40.73993,-111.8861706
2,6,4,7.803047670447853,40.71642,-111.8861706
2,6,5,6.320345664233632,40.69291,-111.8861706
2,6,6,6.5028118105648725,40.66939,-111.8861706
2,6,7,7.369734162236261,40.64588,-111.8861706
2,6,8,6.090712085651725,40.62236,-111.8861706
2,6,9,5.556930585608455,40.59885,-111.8861706
2,7,0,4.727661725068062,40.81048,-111.8669742
2,7,1,5.469644194322018,40.78696,-111.8669742
2,7,2,7.393467535133798,40.76345,-111.8669742
2,7,3,7.3649097237164485,40.73993,-111.8669742
2,7,4,7.547181532394532,40.71642,-111.8669742
2,7,5,6.802773445384818,40.69291,-111.8669742
2,7,6,5.527661446744805,40.66939,-111.8669742
2,7,7,7.086924018714492,40.64588,-111.8669742
2,7,8,6.082960450343794,40.62236,-111.8669742
2,7,9,5.477903992541317,40.59885,-111.8669742
2,8,0,3.5954553347484457,40.81048,-111.8477778
2,8,1,4.887422266674512,40.78696,-111.8477778
2,8,2,5.896685452836955,40.76345,-111.8477778
2,8,3,7.495759336042774,40.73993,-111.8477778
2,8,4,6.245356204087755,40.71642,-111.8477778
2,8,5,5.729468045008858,40.69291,-111.8477778
2,8,6,6.249066227365379,40.66939,-111.8477778
